,speaker,file,word,time,f1,f2,f3,f0,language,gender,glottocode,item,ipa,c1,c1_phonation,vowel,anteropost,height,c2,c2_phonation,c2_place
140,it01,it01-016,bucu,6,301.58097867273864,639.0632593591341,2336.3130198872864,117.58674910761816,Italian,m,ital1282,23,buku,b,voiced,u,back,high,k,voiceless,velar
141,it01,it01-016,bucu,7,295.75112841001294,624.8262542251965,2326.987690175743,117.55574480345336,Italian,m,ital1282,23,buku,b,voiced,u,back,high,k,voiceless,velar
142,it01,it01-016,bucu,8,285.2282957844619,607.5639774826861,2357.4050086364546,115.91646912290372,Italian,m,ital1282,23,buku,b,voiced,u,back,high,k,voiceless,velar
143,it01,it01-016,bucu,9,273.5816489223725,631.858844422052,2378.34520327081,112.62208268132144,Italian,m,ital1282,23,buku,b,voiced,u,back,high,k,voiceless,velar
144,it01,it01-017,baca,1,633.708224832634,1106.8360724375077,2312.002216577567,110.7440456308396,Italian,m,ital1282,7,baka,b,voiced,a,central,low,k,voiceless,velar
145,it01,it01-017,baca,2,691.4642868820393,1168.411701376771,2330.389126027429,108.0581126221248,Italian,m,ital1282,7,baka,b,voiced,a,central,low,k,voiceless,velar
146,it01,it01-017,baca,3,723.4701769265558,1203.1851014685149,2320.6888332154103,107.33479628323552,Italian,m,ital1282,7,baka,b,voiced,a,central,low,k,voiceless,velar
147,it01,it01-017,baca,4,734.4283670446722,1210.009901411654,2307.4411791409398,107.33648278348176,Italian,m,ital1282,7,baka,b,voiced,a,central,low,k,voiceless,velar
148,it01,it01-017,baca,5,732.3399479874056,1232.6912158511736,2253.350159548405,107.88590451488987,Italian,m,ital1282,7,baka,b,voiced,a,central,low,k,voiceless,velar
149,it01,it01-017,baca,6,729.5737286626105,1259.212282048889,2183.294073903984,107.78544500670924,Italian,m,ital1282,7,baka,b,voiced,a,central,low,k,voiceless,velar
150,it01,it01-017,baca,7,716.2872542484025,1293.5883733653857,2075.185254918458,107.43237842032516,Italian,m,ital1282,7,baka,b,voiced,a,central,low,k,voiceless,velar
151,it01,it01-017,baca,8,668.0530760459724,1318.3238915572238,1960.0336596241368,108.19138661316458,Italian,m,ital1282,7,baka,b,voiced,a,central,low,k,voiceless,velar
152,it01,it01-017,baca,9,577.2700207923951,1398.0009456304088,1826.190368651686,108.566731112822,Italian,m,ital1282,7,baka,b,voiced,a,central,low,k,voiceless,velar
153,it01,it01-018,butu,1,269.0723127496427,716.3364957463605,2264.0394551747004,117.43414353414744,Italian,m,ital1282,21,butu,b,voiced,u,back,high,t,voiceless,coronal
154,it01,it01-018,butu,2,288.84532279717325,702.899571071014,2271.481343334638,117.39457918647162,Italian,m,ital1282,21,butu,b,voiced,u,back,high,t,voiceless,coronal
